sku,qty
msj000,500
msj001,500
msj002,500
msj003,500
msj004,500
msj005,500
msj006,500
msj007,500
msj008,500
msj009,500
msj010,500
msj011,500
msj012,500
msj013,500
msj014,500
msj015,500
msj016,500
msj017,500
mtk000,500
mtk001,500
mtk002,500
mtk003,500
mtk004,500
mtk005,500
mtk006,500
mtk007,500
mtk008,500
mtk009,500
mtk010,500
mtk011,500
mtk012,500
mtk013,500
mtk014,500
mpd003,500
mpd004,500
mpd005,500
mpd006,500
mpd007,500
mpd008,500
mpd009,500
mpd010,500
mpd011,500
mpd012,500
mpd013,500
mpd014,500
mpd015,500
mpd016,500
mpd017,500
wbk000,500
wbk001,500
wbk002L,500
wbk003,500
wbk004,500
wbk005,500
wbk006,500
wbk007,500
wbk008,500
wbk009,500
wbk010,500
wbk011,500
wbk012,500
wbk013,500
wbk014,500
wsd000,500
wsd001,500
wsd002,500
wsd003,500
wsd004,500
wsd005,500
wsd006,500
wsd007,500
wsd008,500
wsd009,500
wsd010,500
wsd011,500
wsd012,500
wsd013,500
wsd014,500
wsd015,500
wsd016,500
wsd017,500
wpd010,500
wpd011,500
wpd012,500
wpd013,500
wpd014,500
ace000,500
ace001,500
ace002,500
aws000,500
aws001,500
aws002,500
aws003,500
aws004,500
aws005,500
aws006,500
aws007,500
aws008,500
aws009,500
aws010,500
aws011,500
aws012,500
aws013,500
aws014,500
ams000,500
ams001,500
ams002,500
ams003,500
ams004,500
ams005,500
ams006,500
ams007,500
ams008,500
ams009,500
ams010,500
ams011,500
ams012,500
ams013,500
ams014,500
abl000,500
abl001,500
abl002,500
abl003,500
abl004,500
abl005,500
abl006,500
abl007,500
hdb000,500
hdb001,500
hdb002,500
hdb005,500
hdb006,500
hdb007,500
hdb008,500
hdb009,500
hdd000,500
hdd001,500
hdd002,500
hdd004,500
hdd005,500
hdd006,500
hde001,500
hde003,500
hde004,500
hde005,500
hde006,500
hde010,500
hde011,500
hde012,500
hde013,500
msj000c,500
msj003c,500
msj006c,500
msj009c,500
msj012c,500
msj015c,500
mtk000c,500
mtk002c,500
mtk004c,500
mtk006c,500
mtk009c,500
mtk012c,500
mpd003c,500
mpd006c,500
mpd012c,500
wbk000c,500
wbk003c,500
wbk006c,500
wbk009c,500
wbk012c,500
wsd000c,500
wsd005c,500
wsd008c,500
wsd013c,500
wpd000c,500
wpd005c,500
wpd010c,500
aws000c,500
aws005c,500
aws010c,500
ams000c,500
ams005c,500
ams010c,500
abl006c,500
hdd001c,500
abl008,500
hdd003,500
hde007,500
hde008,500
hde009,500
hde014,500
hdb010,500
hbm000,500
hbm002,500
hbm003 ,500
mpd000c,500
mpd000,500
mpd001,500
mpd002,500
mpd00336,500
mpd00338,500
mpd00331,500
mpd00328,500
mpd00028,500
mpd00031,500
mpd00036,500
mpd00038,500
mtk004xs,500
mtk004m,500
mtk002s,500
mtk002xs,500
mtk002xl,500
mtk004xl,500
mtk000l,500
mtk000xl,500
mtk000xs,500
mtk006xs,500
mtk006xl,500
mtk009xs,500
mtk009xl,500
mtk012xs,500
mtk012xl,500
msj000xs,500
msj000xl,500
msj003xs,500
msj003xl,500
msj006xl,500
msj006xs,500
msj009xs,500
msj009xl,500
msj012xs,500
msj012xl,500
msj015xs,500
msj015xl,500
wbk000xs,500
wbk000xl,500
wbk003xs,500
wbk003xl,500
wbk006xs,500
wbk006xl,500
wbk009xs,500
wbk009xl,500
wbk012xs,500
wbk012xl,500
wpd00526,500
wpd00527,500
wpd00528,500
wpd00529,500
wpd00530,500
wpd00531,500
wpd00532,500
wpd00026,500
wpd00027,500
wpd00028,500
wpd00029,500
wpd00030,500
wpd00031,500
wpd00032,500
wpd01010,500
wpd0108,500
wpd0106,500
wpd0104,500
wpd01012,500
wsd005xs,500
wsd005xl,500
abl009,500
vip000,500
acj001c,500
acj00118,500
acj00124,500
acj0006s,500
acj003,500
acj004,500
acj000,500
acj005,500
acj007,500
hbm001,500
hbm005,500
hbm006,500
hbm007,500
hbm008,500
hbm009,500
hbm010,500
mem000,500
Pmo000xs,500
Pmo000s,500
Pmo000m,500
Pmo000l,500
Pmo000xl,500
Pmo001xs,500
Pmo001s,500
Pmo001m,500
Pmo001l,500
Pmo001xl,500
Pmo002xs,500
Pmo002s,500
Pmo002m,500
Pmo002l,500
Pmo002xl,500
Pmp00028,500
Pmp00030,500
Pmp00031,500
Pmp00032,500
Pmp00034,500
Pmp00036,500
Pmp00038,500
Pmp00128,500
Pmp00130,500
Pmp00131,500
Pmp00132,500
Pmp00134,500
Pmp00136,500
Pmp00138,500
Pmp00228,500
Pmp00230,500
Pmp00231,500
Pmp00232,500
Pmp00234,500
Pmp00236,500
Pmp00238,500
Pms000xs,500
Pms000s,500
Pms000m,500
Pms000l,500
Pms000xl,500
Pms002xs,500
Pms002s,500
Pms002m,500
Pms002l,500
